Building,City,Country,Height_m,Year_Completed
Burj Khalifa,Dubai,United Arab Emirates,828,2010
Shanghai Tower,Shanghai,China,632,2015
Abraj Al-Bait Clock Tower,Mecca,Saudi Arabia,601,2012
Ping An Finance Center,Shenzhen,China,599,2017
Lotte World Tower,Seoul,South Korea,555,2016
One World Trade Center,New York City,USA,541,2014
Guangzhou CTF Finance Centre,Guangzhou,China,530,2016
Tianjin CTF Finance Centre,Tianjin,China,530,2019
CITIC Tower,Beijing,China,528,2018
Taipei 101,Taipei,Taiwan,508,2004